start_date,end_date,category,start,stop,miles,purpose,duration_minutes,average_speed_mph,month,weekday,hour,daypart,route
2016-03-25 16:52:00,2016-03-25 22:22:00,Business,Latta,Jacksonville,310.3,Customer Visit,330.0,56.41818181818182,2016-03,Friday,16,Afternoon,Latta → Jacksonville
2016-03-25 22:54:00,2016-03-26 01:39:00,Business,Jacksonville,Kissimmee,201.0,Meeting,165.0,73.0909090909091,2016-03,Friday,22,Late night,Jacksonville → Kissimmee
2016-10-30 15:22:00,2016-10-30 18:23:00,Business,Asheville,Mebane,195.9,Unknown,181.0,64.93922651933703,2016-10,Sunday,15,Afternoon,Asheville → Mebane
2016-09-27 21:01:00,2016-09-28 02:37:00,Business,Unknown Location,Unknown Location,195.6,Unknown,336.0,34.92857142857143,2016-09,Tuesday,21,Late night,Unknown Location → Unknown Location
2016-07-14 16:39:00,2016-07-14 20:05:00,Business,Morrisville,Banner Elk,195.3,Unknown,206.0,56.88349514563107,2016-07,Thursday,16,Afternoon,Morrisville → Banner Elk
2016-07-17 12:20:00,2016-07-17 15:25:00,Personal,Boone,Cary,180.2,Commute,185.0,58.44324324324324,2016-07,Sunday,12,Afternoon,Boone → Cary
2016-04-02 19:38:00,2016-04-02 22:36:00,Business,Jacksonville,Ridgeland,174.2,Customer Visit,178.0,58.7191011235955,2016-04,Saturday,19,Evening,Jacksonville → Ridgeland
2016-04-03 02:00:00,2016-04-03 04:16:00,Business,Florence,Cary,159.3,Meeting,136.0,70.27941176470588,2016-04,Sunday,2,Overnight,Florence → Cary
2016-08-27 16:15:00,2016-08-27 19:13:00,Business,Unknown Location,Unknown Location,156.9,Unknown,178.0,52.8876404494382,2016-08,Saturday,16,Afternoon,Unknown Location → Unknown Location
2016-03-25 13:24:00,2016-03-25 16:22:00,Business,Cary,Latta,144.0,Customer Visit,178.0,48.53932584269663,2016-03,Friday,13,Afternoon,Cary → Latta
2016-04-02 23:11:00,2016-04-03 01:34:00,Business,Ridgeland,Florence,144.0,Meeting,143.0,60.41958041958042,2016-04,Saturday,23,Late night,Ridgeland → Florence
2016-03-17 12:52:00,2016-03-17 15:11:00,Business,Austin,Katy,136.0,Customer Visit,139.0,58.70503597122302,2016-03,Thursday,12,Afternoon,Austin → Katy
2016-10-28 18:13:00,2016-10-28 20:07:00,Business,Winston Salem,Asheville,133.6,Meeting,114.0,70.3157894736842,2016-10,Friday,18,Evening,Winston Salem → Asheville
2016-10-06 17:23:00,2016-10-06 17:40:00,Business,R?walpindi,Unknown Location,112.6,Unknown,17.0,397.4117647058823,2016-10,Thursday,17,Evening,R?walpindi → Unknown Location
2016-10-28 15:53:00,2016-10-28 17:59:00,Business,Cary,Winston Salem,107.0,Meeting,126.0,50.95238095238095,2016-10,Friday,15,Afternoon,Cary → Winston Salem
2016-12-21 20:56:00,2016-12-21 23:42:00,Business,Rawalpindi,Unknown Location,103.0,Meeting,166.0,37.2289156626506,2016-12,Wednesday,20,Evening,Rawalpindi → Unknown Location
2016-08-24 13:01:00,2016-08-24 15:25:00,Business,Unknown Location,Unknown Location,96.2,Unknown,144.0,40.083333333333336,2016-08,Wednesday,13,Afternoon,Unknown Location → Unknown Location
2016-10-28 20:13:00,2016-10-28 22:00:00,Business,Asheville,Topton,91.8,Meeting,107.0,51.47663551401869,2016-10,Friday,20,Evening,Asheville → Topton
2016-08-27 14:01:00,2016-08-27 15:44:00,Business,Lahore,Unknown Location,86.6,Unknown,103.0,50.44660194174757,2016-08,Saturday,14,Afternoon,Lahore → Unknown Location
2016-04-02 16:57:00,2016-04-02 18:09:00,Business,Daytona Beach,Jacksonville,80.5,Customer Visit,72.0,67.08333333333334,2016-04,Saturday,16,Afternoon,Daytona Beach → Jacksonville
2016-04-02 12:21:00,2016-04-02 14:47:00,Business,Kissimmee,Daytona Beach,77.3,Customer Visit,146.0,31.767123287671236,2016-04,Saturday,12,Afternoon,Kissimmee → Daytona Beach
2016-10-29 17:13:00,2016-10-29 19:19:00,Business,Hayesville,Topton,75.7,Unknown,126.0,36.047619047619044,2016-10,Saturday,17,Evening,Hayesville → Topton
2016-09-06 17:49:00,2016-09-06 17:49:00,Business,Unknown Location,Unknown Location,69.1,Unknown,0.0,,2016-09,Tuesday,17,Evening,Unknown Location → Unknown Location
