column,dtype,missing_count,missing_percent,unique_values,constant
Names,object,0,0.0,777,False
Apps,int64,0,0.0,711,False
Accept,int64,0,0.0,693,False
Enroll,int64,0,0.0,581,False
Top10perc,int64,0,0.0,82,False
Top25perc,int64,0,0.0,89,False
F.Undergrad,int64,0,0.0,714,False
P.Undergrad,int64,0,0.0,566,False
Outstate,int64,0,0.0,640,False
Room.Board,int64,0,0.0,553,False
Books,int64,0,0.0,122,False
Personal,int64,0,0.0,294,False
PhD,int64,0,0.0,78,False
Terminal,int64,0,0.0,65,False
S.F.Ratio,float64,0,0.0,173,False
perc.alumni,int64,0,0.0,61,False
Expend,int64,0,0.0,744,False
Grad.Rate,int64,0,0.0,81,False
