,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17
Apps,0.24876560150819196,0.3315982273621418,-0.0630921032866304,-0.28131053027727154,0.005741409636458255,-0.016237442032301982,-0.042486348647723944,-0.10309039762749987,-0.09022708015872666,-0.052509802510730515,0.043046207437097715,-0.02407090859859247,0.5958309745342782,-0.08063280389555083,0.1334058058753387,0.4591394983136086,0.3589703995612344
Accept,0.20760150191693827,0.3721167498518506,-0.10124905632141862,-0.2678173461640104,0.05578609200059691,0.007534684517141695,-0.012949719616058404,-0.056270962285438625,-0.17786481412682703,-0.04114008438126073,-0.05840558504781535,0.14510244574899284,0.29264239773171447,-0.03346742809827124,-0.14549751086248602,-0.5185687888630994,-0.5434272496709145
Enroll,0.17630359161422582,0.40372425211028395,-0.08298557093947027,-0.16182677061355646,-0.05569363532340359,-0.042557980276755975,-0.027692893669853794,0.058662355184597524,-0.12856071318873338,-0.03448791473910464,-0.06939888310379576,-0.011143154512202736,-0.4446382072357615,0.08569671795689408,0.029589609195639518,-0.40431843895395597,0.6096511102540961
Top10perc,0.3542739474699039,-0.0824118211301838,0.035055533870696605,0.05154725235928382,-0.39543434466911187,-0.05269279799777899,-0.161332068500852,-0.12267802817792238,0.34109986299799916,-0.06402577852629422,-0.008104814043354457,-0.038554300083441545,0.0010230361561134518,0.10782818900146948,0.6977225223618234,-0.148738723269977,-0.1449863286528817
Top25perc,0.3440012790682696,-0.044778655104052344,-0.024147937617462412,0.10976654067498835,-0.42653359448028,0.03309158962689747,-0.11848555628162946,-0.10249196749293672,0.4037119891220702,-0.014549228899066282,-0.2731284689950626,0.08935155634318397,0.02188388024822188,-0.15174210968969373,-0.6172748175991789,0.05186833997568222,0.08034784446748183
F.Undergrad,0.1546409616005965,0.41767377422521895,-0.061392976375792774,-0.10041233518831126,-0.043454365920329634,-0.04345423489758057,-0.02507636291600192,0.0788896441949136,-0.05944191812277387,-0.020847183354287917,-0.0811578180761347,-0.05617677205488835,-0.5236222671333968,0.05637288168318653,0.00991640991673104,0.5603630541401432,-0.4147052790014734
P.Undergrad,0.02644250448041329,0.31508783004902635,0.13968171569361187,0.15855848742033637,0.302385407696933,-0.1911985834372532,0.06104234596778928,0.5707838156367103,0.5606729015721744,0.22310580784649478,0.1006933241598381,0.0635360729948326,0.12599765013237696,-0.019285749999256366,0.020951598185955808,-0.05273130420309329,0.009017889640951087
Outstate,0.29473641937557854,-0.24964352163538225,0.04659887305841211,-0.13129136367537422,0.2225320029043766,-0.030000391013597624,0.10852896608037901,0.009845997540556494,-0.0045733287978391044,-0.186675363469647,0.14322067308887335,0.8234437785942589,-0.14185601436787865,0.034011540650872606,0.038354479397682426,0.10159483015787138,0.05089959181121821
Room.Board,0.24903044871531949,-0.1378088826273171,0.1489673885872959,-0.18499599129223307,0.5609194695012014,0.16275544640889514,0.20974423475117066,-0.22145344192024435,0.2750225483153114,-0.2983242368285124,-0.3593217314246015,-0.3545597307561308,-0.06974858542193929,0.05842897564037415,0.003401970830678508,-0.02592933806494143,0.001146396195861027
Books,0.0647575181456204,0.056341843387773975,0.6774116491332316,-0.08708922047039033,-0.12728882535621663,0.6410549498850886,-0.14969203366333467,0.2132930091933259,-0.1336633528022952,0.08202921856970076,0.031940037012206574,0.028159367903483088,0.011437995818393366,0.0668494643108454,-0.009438879249999085,0.002882828955500934,0.0007726319632154283
Personal,-0.042528538599104465,0.2199292176878278,0.4997211195634123,0.23071056821876956,-0.22231102096046043,-0.3313980029139455,0.6337900638186907,-0.23266084030720832,-0.09446888999491244,-0.13602761621098422,-0.01857847332335317,0.03926402659842788,0.03945474174386504,-0.027528620710312344,-0.0030900135271327866,-0.012890402243280743,-0.0011143339604621093
PhD,0.31831287489467625,0.05831131740971038,-0.12702837107407342,0.5347248315451522,0.14016632558768835,0.09125552115799114,-0.0010964129763305409,-0.07704000016260351,-0.18518152486931028,0.12345219999683786,0.04037232526752072,-0.023222431597088974,0.12769638235657926,0.6911261451358877,-0.11205559880178258,0.029807546549363958,0.013813336571169711
Terminal,0.31705601617109136,0.04642944766274548,-0.06603754535979357,0.519443019226358,0.20471973030273066,0.15492764614100948,-0.028477010518515193,-0.012161329718347005,-0.25493819756551334,0.08857846269210448,-0.05897340262599108,-0.01648504198782904,-0.0583134662259631,-0.6710086067451592,0.15890965100479862,-0.02707598086022725,0.006209327487534335
S.F.Ratio,-0.17695789465779926,0.24666527718102987,-0.28984840143180346,0.1611894872595061,-0.0793882495627525,0.487045874895789,0.21925935802217295,-0.08360487353749275,0.2745443802631219,-0.4720452491358475,0.4450007272794879,0.011026212226029992,-0.017715270001622676,-0.04137409669827561,-0.020899128436522578,-0.02124762943763477,-0.0022221518187314523
perc.alumni,0.20508236899156154,-0.2465952739612527,-0.1469892740143222,-0.01731422295158844,-0.21629741052465842,-0.047340014363537714,0.24332115639958693,0.6785236540549204,-0.25533490690882144,-0.4229997061876614,-0.13072797803613936,-0.18266065361823552,0.10408808798400492,0.02715420912157589,-0.008417894102001566,0.0033340624250421088,-0.019186974347967806
Expend,0.3189087503562584,-0.13168986492751847,0.22674398489365286,-0.07927349455443923,0.0759581202507843,-0.29811861854926947,-0.22658448054298028,-0.054159377129974574,-0.049138880940655244,-0.13228633149737973,0.6920888695257551,-0.32598229500229126,-0.09374644969341026,-0.07312251662409683,-0.22774201733657168,-0.04388032298752571,-0.03530982178296729
Grad.Rate,0.25231565393651506,-0.1692405320782238,-0.20806464942201222,-0.26912906561884115,-0.10926791286513995,0.21616331255069446,0.5599439369226367,-0.005335538908066735,0.041904305171441524,0.5902710668215362,0.21983899999011966,-0.12210669696481483,-0.06919697782534305,-0.03647673850429258,-0.003394336040766201,-0.0050084470453339944,-0.013071002408179369
