document,term,tfidf
Roosevelt 1941,democracy,0.09906377513024829
Roosevelt 1941,body,0.08085161499324119
Roosevelt 1941,speaks,0.08085161499324119
Roosevelt 1941,mind,0.08085161499324119
Roosevelt 1941,know,0.07782330763499075
Roosevelt 1941,spirit,0.07534055440025521
Roosevelt 1941,years,0.06578602818668543
Roosevelt 1941,like person,0.06502403907560449
Roosevelt 1941,spirit faith,0.06502403907560449
Roosevelt 1941,task,0.06502403907560449
Roosevelt 1941,task people,0.06502403907560449
Roosevelt 1941,day task,0.06502403907560449
Roosevelt 1941,sacred,0.06502403907560449
Roosevelt 1941,destiny,0.06502403907560449
Roosevelt 1941,came,0.06502403907560449
Kennedy 1961,sides,0.09044985101729203
Kennedy 1961,let sides,0.07664482901331103
Kennedy 1961,pledge,0.0658065807672732
Kennedy 1961,let,0.06544562840320618
Kennedy 1961,join,0.061640776836939866
Kennedy 1961,begin,0.061640776836939866
Kennedy 1961,globe,0.061640776836939866
Kennedy 1961,control,0.061640776836939866
Kennedy 1961,final,0.061640776836939866
Kennedy 1961,dare,0.061640776836939866
Kennedy 1961,power,0.058290368019827614
Kennedy 1961,free,0.058290368019827614
Kennedy 1961,ask,0.058290368019827614
Kennedy 1961,citizens,0.058290368019827614
Kennedy 1961,world,0.053421139080997736
Nixon 1973,abroad,0.08288241705586609
Nixon 1973,peace,0.08074016322146123
Nixon 1973,policies,0.07928845223342657
Nixon 1973,act,0.07023238415552868
Nixon 1973,responsibilities,0.07023238415552868
Nixon 1973,respect,0.07023238415552868
Nixon 1973,era,0.07023238415552868
Nixon 1973,responsibility,0.0695527603251574
Nixon 1973,government,0.0676018214173145
Nixon 1973,let,0.065032390457386
Nixon 1973,america,0.06429289487518576
Nixon 1973,promise,0.0642265299663751
Nixon 1973,old policies,0.0642265299663751
Nixon 1973,world,0.06184247122055748
Nixon 1973,years,0.060300911619312114
