item_1,item_2,joint_bills,support,confidence_1_to_2,confidence_2_to_1,lift
ADD FRIES                     ,B.M.T. PANINI                 ,151,0.0021576976936926637,0.2007978723404255,0.05796545105566219,5.394332707150733
B.M.T. PANINI                 ,MAGGI NDL ARRABIATA           ,134,0.0019147780857934897,0.05143953934740883,0.15209988649262202,4.086086086958416
RED BULL 2+1                  ,SAMBUCA                       ,290,0.00414392272298591,0.24850042844901452,0.06556635767578567,3.9318464806056825
MAGGI NDL ARRABIATA           ,SAMBUCA                       ,175,0.0025006430224914977,0.19863791146424517,0.03956590549400859,3.142907149014426
CALCUTTA MINT                 ,RED BULL 2+1                  ,166,0.002372038524191935,0.05019655276685818,0.14224507283633245,3.0101586595803504
B.M.T. PANINI                 ,PHILLYCREAM CHEESE &CHILLY PAN,183,0.002614958132091109,0.07024952015355086,0.09838709677419354,2.64311931149774
RED BULL ENERGY DRINK         ,SAMBUCA                       ,283,0.004043897002086251,0.15215053763440858,0.06398372145602532,2.4073703198578302
N R G  HOOKAH                 ,RED BULL ENERGY DRINK         ,141,0.0020148038066931497,0.06308724832214765,0.07580645161290323,2.3736407591830844
B.M.T. PANINI                 ,KIT KAT SHAKE                 ,148,0.0021148295275928096,0.05681381957773513,0.08814770696843359,2.368043312500929
B.M.T. PANINI                 ,COTTAGE CHEESE PANINI         ,141,0.0020148038066931497,0.05412667946257198,0.08746898263027295,2.3498097283807144
CALCUTTA MINT                 ,RED BULL ENERGY DRINK         ,199,0.0028435883512903317,0.06017538554581191,0.10698924731182795,2.264082704982263
PHILLYCREAM CHEESE &CHILLY PAN,POUTINE WITH FRIES            ,202,0.002886456517390186,0.1086021505376344,0.05916813122437024,2.226185031905311
COTTAGE CHEESE PANINI         ,POUTINE WITH FRIES            ,165,0.0023577491354919836,0.10235732009925558,0.048330404217926184,2.0981751538330706
B.M.T. PANINI                 ,POUTINE WITH FRIES            ,266,0.0038009773941870767,0.10211132437619962,0.07791446983011131,2.093132601785355
COUNTRY ROAST CHICKEN PANINI  ,POUTINE WITH FRIES            ,134,0.0019147780857934897,0.10136157337367625,0.03925014645577036,2.0777638042872324
B.M.T. PANINI                 ,QUA  MINERAL WATER(1000ML)    ,257,0.003672372895887514,0.09865642994241844,0.0772235576923077,2.074571598626901
B.M.T. PANINI                 ,SAMBUCA                       ,328,0.004686919493584065,0.12591170825335893,0.07415781144019896,1.9922118849167003
B.M.T. PANINI                 ,BERRY BLAST                   ,141,0.0020148038066931497,0.05412667946257198,0.06942392909896603,1.8650385436483077
GARDEN FRESH PANINI           ,GREAT LAKES SHAKE                   ,160,0.0022863021919922264,0.12955465587044532,0.032847464586327244,1.861320863708788
B.M.T. PANINI                 ,OREO COOKIE SHAKE             ,137,0.001957646251893344,0.05259117082533589,0.06887883358471593,1.8503948299138542
MOROCCAN MINT TEA             ,QUA  MINERAL WATER(1000ML)    ,197,0.002815009573890429,0.08732269503546099,0.05919471153846154,1.8362430420587836
CAFFE LATTE                   ,CAPPUCCINO                    ,297,0.004243948443885571,0.14176610978520288,0.05431602048280907,1.8143884226386369
B.M.T. PANINI                 ,LEMON ICED TEA                ,146,0.002086250750192907,0.05604606525911709,0.06657546739626083,1.78851606883882
OREO COOKIE SHAKE             ,POUTINE WITH FRIES            ,168,0.0024006173015918377,0.08446455505279034,0.0492091388400703,1.7313996753674203
B.M.T. PANINI                 ,N R G  HOOKAH                 ,143,0.0020433825840930524,0.05489443378119002,0.06398210290827741,1.7188466509508904
B.M.T. PANINI                 ,CALCUTTA MINT                 ,211,0.003015061015689749,0.08099808061420347,0.063804052010886,1.7140634041557865
NIRVANA HOOKAH SINGLE         ,QUA  MINERAL WATER(500ML)     ,168,0.0024006173015918377,0.020026224818214325,0.20168067226890754,1.6824432955921667
LEMON ICED TEA                ,POUTINE WITH FRIES            ,177,0.002529221799891401,0.08071135430916553,0.051845342706502644,1.6544645569021743
BERRY BLAST                   ,POUTINE WITH FRIES            ,160,0.0022863021919922264,0.07877892663712456,0.04686584651435266,1.614852619777168
CAFFE LATTE                   ,QUA  MINERAL WATER(1000ML)    ,160,0.0022863021919922264,0.07637231503579953,0.04807692307692308,1.60597576647696
COUNTRY LEMONADE              ,POUTINE WITH FRIES            ,141,0.0020148038066931497,0.07794361525704809,0.04130052724077329,1.597729959847317
