Item_Desc,revenue,units,bills,median_rate,median_line_total,cluster
1 AXE TWIST                   ,519.78,6,6,70.0,86.63,1
1+1 BTL4 SEASON WHITE         ,2268.0,2,2,900.0,1134.0,1
1+1 GLS 4SEASON RED           ,2425.5,11,11,175.0,220.5,1
1+1 GLS 4SEASONS WHITE        ,3276.0,13,9,200.0,252.0,1
1+1 KF 1 LITER                ,14174.92,48,42,225.0,295.31,0
1+1 KF 1/2 LITER              ,22312.36,136,111,125.0,164.06,0
1+1 KF 2 LITER                ,3675.0,7,7,400.0,525.0,1
1+1 VLN CAB SAUV (BTL)        ,1008.0,1,1,800.0,1008.0,1
1+1 VLN CAB SAUV (GLS)        ,2646.0,12,11,175.0,220.5,1
1+1 VLN CAB SAUV CLASIQ (BTL) ,2016.0,2,2,800.0,1008.0,1
1+1 VLN CAB SAUV CLASIQ (GLS) ,4851.0,22,19,175.0,220.5,1
1+1 VLN CHENIN BLANC (GLS)    ,4630.5,21,16,175.0,220.5,1
1+1 VLN SAUV BLANC (BTL)      ,1008.0,1,1,800.0,1008.0,1
1+1 VLN SAUV BLANC (GLS)      ,2205.0,10,9,175.0,220.5,1
1+1 WINE BOTTLE               ,2144.52,2,2,851.0,1072.26,1
1+1 WINE GLASS                ,9323.43,40,39,175.1,220.63,0
2 AXE TWIST                   ,173.25,1,1,140.0,173.25,1
2 DOM BEER + 1PREM SHEESHA    ,1706.26,2,2,650.0,853.13,1
2 DOM BEER + 1SPL SHEESHA     ,6562.5,10,10,500.0,656.25,1
2 MUFFINS + BEVERAGE          ,367.53000000000003,3,3,99.0,122.51,1
2 OCEAN PINOTAGE (BTL)        ,2394.0,1,1,1900.0,2394.0,1
2 RED BULL                    ,4083.85,22,21,150.0,185.63,1
3 RED BULL                    ,100187.63,270,248,300.0,371.25,0
3COURSE NON-VEG MEAL          ,2598.75,7,7,300.0,371.25,1
3COURSE VEG MEAL              ,1856.28,6,6,250.0,309.38,1
4 DOM BEER + 1SPL SHEESHA     ,1968.76,2,2,750.0,984.38,1
4 SEASONS CLAS SAUV(BTL)      ,2268.0,2,2,900.0,1134.0,1
4 SEASONS CLAS SAUV(GLS       ,1008.0,4,3,200.0,252.0,1
4 SEASONS CLAS SYRAH(BTL)     ,1008.0,1,1,800.0,1008.0,1
4 SEASONS CLAS SYRAH(GLS)     ,1543.5,7,5,175.0,220.5,1
5 RED BULL                    ,18933.9,34,32,450.0,556.88,1
ADD BUTTERED TOAST            ,18.56,1,1,15.0,18.56,1
ADD CARAMEL FLAVOUR           ,2444.26,79,69,25.0,30.94,0
ADD CHICKEN                   ,1299.52,35,31,30.0,37.13,0
ADD CHICKEN BACON             ,148.52,4,4,30.0,37.13,1
ADD CHICKEN SAUSAGE           ,1183.73,16,15,60.0,74.25,1
ADD CINNAMON FLAVOUR          ,1330.42,43,40,25.0,30.94,0
ADD COTTAGE CHEESE            ,1082.9,35,35,25.0,30.94,0
ADD FRIES                     ,40422.05,934,752,35.0,43.31,0
ADD GROUND MEAT               ,111.39000000000001,3,3,30.0,37.13,1
ADD HAZELNUT FLAVOUR          ,7239.35,234,207,25.0,30.94,0
ADD HERB ROAST CHICKEN        ,6633.0,178,157,30.0,37.13,0
ADD ICE CREAM                 ,2503.09,50,47,40.0,49.5,0
ADD IRISH CREAM FLAVOUR       ,835.38,27,25,25.0,30.94,0
ADD ON S                      ,8061.599999999999,426,353,15.0,18.56,0
ADD POTATO WEDGES             ,1763.39,40,34,35.0,43.31,0
ADD SMOKED CHICKEN            ,3564.0,48,44,60.0,74.25,0
ADD TRADITIONAL MEAT FEAST    ,501.21,9,8,45.0,55.69,1
ADD VANILLA FLAVOUR           ,1794.52,58,50,25.0,30.94,0
ADD WHIPPED CREAM             ,2871.27,80,69,30.0,37.13,0
AFRICAN OMELETTE BREAKFAST    ,5630.57,26,25,175.0,216.56,1
AIOLI SALAD BOWL              ,4981.13,44,41,90.0,111.38,0
AL SIKANDARI HOOKAH DOUBLE    ,455.4,1,1,345.0,455.4,1
AL SIKANDARI HOOKAH SINGLE    ,231778.8,535,533,295.0,389.4,0
ALIO AGLIO                    ,1856.29,10,9,150.0,185.63,1
ANDALUSIAN SAUSAGES           ,6818.72,19,19,290.0,358.88,1
ANDAMAN STRIPE                ,589.5,2,2,262.0,294.75,1
APPLE CARROT N GINGER JUICE   ,19044.78,162,154,95.0,117.56,0
APPLE CINNAMON MUFFIN         ,15449.76,227,212,55.0,68.06,0
APPLE FLAVOUR DOUBLE          ,739.2,2,2,280.0,369.6,1
APPLE FLAVOUR SINGLE          ,105336.0,344,335,225.0,297.0,0
APPLE N CINNAMON CREPES       ,9652.779999999999,60,58,130.0,160.88,0
APPLE PEAR N LIME             ,22689.23,193,176,95.0,117.56,0
APPLE PIE SHAKE               ,31532.77,189,177,135.0,167.06,0
APRICOT FLAVOUR SINGLE        ,16038.0,54,54,225.0,297.0,0
ARABIAN MIST                  ,560406.0,1213,1206,350.0,462.0,0
ASH TRAYS                     ,168.75,1,1,150.0,168.75,1
ASIAN WOK TOSSED SALAD        ,4127.07,39,39,80.0,99.0,0
ASSORTED TAPAS (2)NONVEG      ,24094.38,59,52,330.0,408.38,0
ASSORTED TAPAS(2 )VEG         ,24764.33,73,62,275.0,340.31,0
AU LAIT SET                   ,951.75,3,3,282.0,317.25,1
AVALANCHE BOWL                ,1113.75,2,1,495.0,1113.75,1
B-BEANS G-TOMATO & WEDGES     ,884.8399999999999,11,11,65.0,80.44,1
B.M.T. PANINI                 ,377293.05,2904,2605,105.0,129.94,0
B1G1 4SEASON CLAS SAUV(BTL)   ,1134.0,1,1,900.0,1134.0,1
B1G1 4SEASON CLAS SAUV(GLS)   ,252.0,1,1,200.0,252.0,1
