month,revenue,bills,units,average_order_value
2010-04,2436355.71,5417,12677,449.7610688573011
2010-05,2353007.82,5268,11819,446.66055808656034
2010-06,2345284.32,5434,12165,431.5944644828855
2010-07,2719406.39,6110,14162,445.07469558101474
2010-08,2825539.73,6210,14668,454.998346215781
2010-09,2483845.63,5724,12731,433.93529524807826
2010-10,2698502.2,5760,13461,468.4899652777778
2010-11,2649848.84,5642,13056,469.6648068060971
2010-12,3459656.05,7165,17074,482.8549965108164
2011-01,3092632.65,6269,14994,493.32152655925984
2011-02,2810639.79,5587,13228,503.06779846071237
2011-03,2779920.62,5396,12798,515.1817309117865
