column,dtype,missing_count,missing_percent,unique_values,constant
name,object,0,0.0,195,False
MDVP:Fo(Hz),float64,0,0.0,195,False
MDVP:Fhi(Hz),float64,0,0.0,195,False
MDVP:Flo(Hz),float64,0,0.0,195,False
MDVP:Jitter(%),float64,0,0.0,173,False
MDVP:Jitter(Abs),float64,0,0.0,19,False
MDVP:RAP,float64,0,0.0,155,False
MDVP:PPQ,float64,0,0.0,165,False
Jitter:DDP,float64,0,0.0,180,False
MDVP:Shimmer,float64,0,0.0,188,False
MDVP:Shimmer(dB),float64,0,0.0,149,False
Shimmer:APQ3,float64,0,0.0,184,False
Shimmer:APQ5,float64,0,0.0,189,False
MDVP:APQ,float64,0,0.0,189,False
Shimmer:DDA,float64,0,0.0,189,False
NHR,float64,0,0.0,185,False
HNR,float64,0,0.0,195,False
status,int64,0,0.0,2,False
RPDE,float64,0,0.0,195,False
DFA,float64,0,0.0,195,False
spread1,float64,0,0.0,195,False
spread2,float64,0,0.0,194,False
D2,float64,0,0.0,195,False
PPE,float64,0,0.0,195,False
