feature,importance,importance_std
Jitter:DDP,0.0239864864864864,0.026556289019486267
MDVP:RAP,0.02173423423423413,0.025682342662158155
spread2,0.01768018018018009,0.014443857176851376
PPE,0.012837837837837795,0.04994264627115001
DFA,0.009346846846846746,0.005483436407180122
MDVP:Fo(Hz),0.003040540540540493,0.03670048327706416
MDVP:APQ,0.0009009009009007974,0.0018018018018017752
Shimmer:APQ5,0.0,0.0
Shimmer:APQ3,0.0,0.0
MDVP:Flo(Hz),0.0,0.0
Shimmer:DDA,0.0,0.0
MDVP:Shimmer(dB),0.0,0.0
MDVP:Shimmer,0.0,0.0
MDVP:PPQ,0.0,0.0
D2,-0.0022522522522523515,0.006085250489237054
RPDE,-0.002702702702702742,0.019719751477340113
NHR,-0.004391891891891969,0.016906525193179738
spread1,-0.004842342342342437,0.04650928167797392
MDVP:Jitter(Abs),-0.006981981981982082,0.008720027334507175
MDVP:Fhi(Hz),-0.021058558558558656,0.022713436347925685
MDVP:Jitter(%),-0.06700450450450457,0.020714293460680634
HNR,-0.09228603603603613,0.02837407687619837
