method,clusters,silhouette,davies_bouldin,calinski_harabasz,mean_seed_stability_ari,smallest_cluster_share
kmeans,2,0.4323284246768482,0.8924990931024944,4367.323097619211,0.9990752738031528,0.3840479483633011
gaussian_mixture,2,0.28888720241787,1.0670311752521504,2288.485389272404,,0.3441678192715537
kmeans,3,0.33702191251359487,1.0483361748315712,3625.303441826699,0.9966303074922266,0.1772706316274781
gaussian_mixture,3,0.2595887568390513,1.2165226441850274,2795.2268943194613,,0.20262793914246197
kmeans,4,0.33721362759507484,1.01057912537452,3328.9190827403872,0.9697384798329693,0.16343937298294145
gaussian_mixture,4,0.1728499386046479,1.7220064314773662,2148.4594344037337,,0.19248501613646843
kmeans,5,0.3163001662251467,0.9877789358456204,3192.9770830708458,0.9441273507566187,0.07814661134163209
gaussian_mixture,5,0.15452294438238637,1.7779122859535648,1892.0506146882599,,0.046104195481788846
kmeans,6,0.311978302988352,1.015682110963428,3082.3554695698776,0.9564371346719465,0.07422775472568004
gaussian_mixture,6,0.12291198657058094,2.1805158378888705,1496.655620976621,,0.022130013831258646
kmeans,7,0.3092518844186403,0.9823343832117389,2963.7935425134924,0.993897372185075,0.05232826187183034
gaussian_mixture,7,0.09853422146659412,2.2510801380393035,1277.7619156290216,,0.0218994928538497
