CustomerID,recency,frequency,monetary,cluster,segment_name
12346.0,326,1,77183.6,1,High-value loyal customers
12347.0,2,7,4310.0,1,High-value loyal customers
12348.0,75,4,1797.24,1,High-value loyal customers
12349.0,19,1,1757.55,0,Occasional low-value customers
12350.0,310,1,334.4,0,Occasional low-value customers
12352.0,36,8,2506.04,1,High-value loyal customers
12353.0,204,1,89.0,0,Occasional low-value customers
12354.0,232,1,1079.4,0,Occasional low-value customers
12355.0,214,1,459.4,0,Occasional low-value customers
12356.0,23,3,2811.43,1,High-value loyal customers
12357.0,33,1,6207.67,1,High-value loyal customers
12358.0,2,2,1168.06,1,High-value loyal customers
12359.0,58,4,6310.03,1,High-value loyal customers
12360.0,52,3,2662.06,1,High-value loyal customers
12361.0,287,1,189.9,0,Occasional low-value customers
12362.0,3,10,5226.23,1,High-value loyal customers
12363.0,110,2,552.0,0,Occasional low-value customers
12364.0,8,4,1313.1,1,High-value loyal customers
12365.0,291,2,641.38,0,Occasional low-value customers
12367.0,4,1,168.9,0,Occasional low-value customers
12370.0,51,4,3541.94,1,High-value loyal customers
12371.0,45,2,1887.96,0,Occasional low-value customers
12372.0,72,3,1298.04,0,Occasional low-value customers
12373.0,311,1,364.6,0,Occasional low-value customers
12374.0,25,1,742.9300000000001,0,Occasional low-value customers
12375.0,11,2,457.5,0,Occasional low-value customers
12377.0,315,2,1628.12,0,Occasional low-value customers
12378.0,130,1,4008.62,0,Occasional low-value customers
12379.0,82,2,852.24,0,Occasional low-value customers
12380.0,22,4,2724.81,1,High-value loyal customers
12381.0,5,5,1845.31,1,High-value loyal customers
12383.0,185,5,1850.56,1,High-value loyal customers
12384.0,29,2,585.27,0,Occasional low-value customers
12386.0,338,2,401.9,0,Occasional low-value customers
12388.0,16,6,2780.66,1,High-value loyal customers
12390.0,80,1,549.84,0,Occasional low-value customers
12391.0,22,1,439.66,0,Occasional low-value customers
12393.0,72,4,1582.6000000000001,1,High-value loyal customers
12394.0,64,2,1272.48,0,Occasional low-value customers
12395.0,19,12,3018.63,1,High-value loyal customers
12397.0,36,2,2409.9,1,High-value loyal customers
12398.0,46,1,1635.6599999999999,0,Occasional low-value customers
12399.0,119,4,1108.65,0,Occasional low-value customers
12401.0,303,1,84.3,0,Occasional low-value customers
12402.0,323,1,225.6,0,Occasional low-value customers
12403.0,50,1,427.7,0,Occasional low-value customers
12405.0,149,1,1710.39,0,Occasional low-value customers
12406.0,22,2,3415.3,1,High-value loyal customers
12407.0,50,5,1708.1200000000001,1,High-value loyal customers
12408.0,33,5,2888.55,1,High-value loyal customers
12409.0,79,3,11072.67,1,High-value loyal customers
12410.0,309,2,693.3299999999999,0,Occasional low-value customers
12412.0,75,3,1226.88,0,Occasional low-value customers
12413.0,67,3,758.1,0,Occasional low-value customers
